STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),sector,Sector,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2013,,52.4,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2014,,52.4,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2015,,51.2,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2016,,50.6,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2017,,49.8,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2018,,49.2,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2019,,49.1,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2020,,57.3,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2021,,56.0,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2022,,53.1,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2023,,52.7,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,AT,Austria,2024,,56.3,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2013,,55.9,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2014,,55.4,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2015,,53.9,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2016,,53.4,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2017,,52.3,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2018,,52.5,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2019,,51.8,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2020,,58.5,,,,,
dataflow,ESTAT:TEC00023(1.0),Total general government expenditure,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TE,Total general government expenditure,S13,General government,BE,Belgium,2021,,54.9,,,,,
