Year,Quarter,RealEarnings_YoY_pct,NominalEarnings_YoY_pct,CPI_YoY_pct,YearQuarter
2008,Q1,-0.2,2.7,2.9,2008Q1
2008,Q2,0.9,3.8,2.8,2008Q2
2008,Q3,-0.1,2.9,3.1,2008Q3
2008,Q4,1.1,2.7,1.6,2008Q4
2009,Q1,-0.1,0.7,0.8,2009Q1
2009,Q2,-0.9,-0.7,0.3,2009Q2
2009,Q3,0.7,0.4,-0.2,2009Q3
2009,Q4,-0.4,0.1,0.5,2009Q4
2010,Q1,0.8,1.7,0.9,2010Q1
2010,Q2,1.9,3.1,1.1,2010Q2
2010,Q3,1.3,2.4,1.0,2010Q3
2010,Q4,1.6,3.0,1.4,2010Q4
2011,Q1,1.9,3.8,1.8,2011Q1
2011,Q2,2.1,4.1,1.9,2011Q2
2011,Q3,0.8,3.0,2.3,2011Q3
2011,Q4,0.2,2.3,2.1,2011Q4
2012,Q1,0.1,2.2,2.1,2012Q1
2012,Q2,0.6,2.5,1.9,2012Q2
2012,Q3,1.0,3.0,2.0,2012Q3
2012,Q4,0.7,2.7,2.0,2012Q4
2013,Q1,-0.1,1.5,1.5,2013Q1
2013,Q2,-0.2,1.3,1.5,2013Q2
2013,Q3,-0.3,1.3,1.6,2013Q3
2013,Q4,0.0,1.4,1.4,2013Q4
2014,Q1,1.4,2.6,1.2,2014Q1
2014,Q2,1.4,2.5,1.1,2014Q2
2014,Q3,1.7,2.7,0.9,2014Q3
2014,Q4,2.1,2.7,0.5,2014Q4
2015,Q1,2.6,2.7,0.0,2015Q1
2015,Q2,2.3,3.3,1.0,2015Q2
2015,Q3,1.8,2.5,0.7,2015Q3
2015,Q4,2.1,2.4,0.4,2015Q4
2016,Q1,2.5,2.8,0.3,2016Q1
2016,Q2,1.8,1.9,0.2,2016Q2
2016,Q3,1.8,2.3,0.5,2016Q3
2016,Q4,1.3,2.3,1.0,2016Q4
2017,Q1,1.0,2.6,1.6,2017Q1
2017,Q2,1.5,2.9,1.4,2017Q2
2017,Q3,0.7,2.4,1.6,2017Q3
2017,Q4,0.7,2.2,1.5,2017Q4
2018,Q1,1.5,2.8,1.4,2018Q1
2018,Q2,0.7,2.5,1.8,2018Q2
2018,Q3,1.7,3.6,1.9,2018Q3
2018,Q4,1.3,3.3,2.0,2018Q4
2019,Q1,1.1,2.5,1.3,2019Q1
2019,Q2,1.3,3.0,1.6,2019Q2
2019,Q3,2.0,3.4,1.4,2019Q3
2019,Q4,0.6,1.9,1.2,2019Q4
2020,Q1,0.1,2.1,2.0,2020Q1
2020,Q2,-4.7,-3.9,0.8,2020Q2
2020,Q3,-0.9,-1.3,-0.5,2020Q3
2020,Q4,0.4,0.2,-0.1,2020Q4
2021,Q1,-2.2,-0.7,1.5,2021Q1
2021,Q2,3.2,5.5,2.2,2021Q2
2021,Q3,0.0,3.9,3.9,2021Q3
2021,Q4,-1.1,3.6,4.7,2021Q4
2022,Q1,-0.8,3.8,4.7,2022Q1
2022,Q2,-4.2,2.3,6.7,2022Q2
2022,Q3,-5.4,1.6,7.3,2022Q3
2022,Q4,-5.4,2.8,8.6,2022Q4
2023,Q1,-2.4,5.6,8.3,2023Q1
2023,Q2,0.1,6.6,6.5,2023Q2
2023,Q3,0.6,6.3,5.7,2023Q3
2023,Q4,1.8,5.4,3.5,2023Q4
2024,Q1,3.8,6.4,2.5,2024Q1
2024,Q2,3.1,5.4,2.3,2024Q2
2024,Q3,2.9,4.9,1.9,2024Q3
2024,Q4,2.5,4.8,2.3,2024Q4
2025,Q1,1.2,3.6,2.3,2025Q1
2025,Q2,1.9,4.1,2.1,2025Q2
