Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.55923,8244.04566,10056.2614,11507.2172,12187.5364,13233.9905,13892.6051,14700.9598,16055.2878,16548.7174,16620.9546,17750.0096,18828.0871,19216.1972,20681.023,20740.1326,21307.2483,21949.486,23700.632,24171.8371,24845.6585,26736.3089,28171.9094,25134.7712,24093.1402,25712.3843,25119.6655,25813.5767,26129.8391,27458.2253,27441.5297,28440.052,30082.1276,31096.2051,22855.9323,27200.0611,30559.5335,33984.7906,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,186.121835,186.941781,197.402402,225.440494,208.999748,226.876513,240.955232,243.817323,257.190082,281.629277,276.78206,294.866149,311.519019,389.796972,463.54979,479.162165,468.856331,518.450613,571.720267,634.561894,773.439454,777.83311,725.728116,732.588724,650.56352,554.439147,578.603957,665.119756,704.466222,728.549337,822.793868,864.563865,733.243856,709.659255,701.041552,766.820591,747.069674,767.684192,697.352672,670.697829,707.120378,626.16915,625.998816,809.96814,981.744632,1115.71396,1220.00247,1362.31065,1421.11861,1386.59025,1601.72765,1735.58492,1702.9691,1673.2211,1656.16771,1479.61526,1329.80728,1520.21223,1538.90168,1493.81794,1344.10321,1522.39335,1628.31894,1510.74295,1567.63584
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.930991,138.706822,178.954088,198.871116,221.763654,254.184249,274.218554,376.223152,381.733238,452.053705,560.621505,606.694676,651.417134,637.087099,625.054942,565.56973,522.082216,525.469771,491.337221,496.602504,510.787063,356.496214,357.261153,413.757895,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,121.939925,127.454189,133.827044,139.008291,148.549379,155.565216,162.110768,144.94348,146.189167,161.921407,218.676293,195.862004,230.070787,280.649304,368.301914,413.371448,480.452655,490.847767,523.788096,624.878297,757.075555,1324.54659,1162.13068,872.832678,737.674888,753.799755,581.390713,581.523802,560.380582,509.326734,590.321435,603.87891,563.310079,570.888638,577.548739,863.950571,1065.6835,1088.99681,1137.7445,521.364734,516.932316,530.653168,616.796033,694.500938,840.252085,1001.60461,1236.62813,1407.64206,1668.84108,1454.72833,1663.96694,1844.19859,1941.36956,2131.66207,2221.01067,1860.72769,1630.03945,1574.23056,1720.14028,1798.34068,1680.03933,1765.95479,1796.66863,1599.39298,1284.15444
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,729.111965,657.982649,634.221467,636.832811,650.491094,772.468833,697.526602,770.10114,807.439628,907.747893,965.86684,881.919488,668.706017,449.727895,334.97359,404.294818,531.115367,521.702915,429.188127,392.725539,563.733796,533.586202,882.147847,992.698979,1266.21086,1916.46842,2617.05196,3141.04598,4103.0669,3136.64547,3597.34293,4615.9106,5086.0274,5057.74788,5005.99974,3213.90261,1807.95294,2437.25971,2538.59139,2189.85571,1449.92287,1925.87466,2929.69445,2309.53413,2122.08369
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,590.607738,663.294208,668.454504,661.546782,639.48473,639.865904,693.873475,674.793383,652.774321,697.995597,617.230436,336.586995,200.85222,367.279225,586.416135,911.320465,1020.97618,728.545524,831.175344,1056.34481,1160.42047,1326.41652,1479.83885,1908.69901,2446.9095,2741.72137,3057.77257,3743.0553,4498.50487,4213.65008,4149.1447,4465.70914,4222.3471,4420.23462,4602.23051,3981.72662,4168.37544,4614.04797,5365.4888,5460.43051,5370.7775,6413.28281,6846.42669,8575.17135,10011.628
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3935.41128,4169.69537,4940.29696,6151.02717,7139.57451,7925.41577,7721.28859,8167.92286,9409.50851,11996.4073,12474.9253,10465.2605,9697.52202,8082.09152,7808.13003,7911.98436,10539.1178,12828.1519,14599.0355,15714.9266,19563.6575,19533.2621,20099.5352,15916.8395,15748.5308,18443.2545,19130.1597,18247.9996,18536.5084,18875.2869,21810.2487,23511.2951,26528.1302,34063.5784,39021.1278,40829.8019,43467.211,48336.2283,49132.5157,43975.0184,42746.831,46657.1561,41500.5436,42470.3161,44369.6597,38654.9347,40129.8192,40672.9943,42819.7746,41257.8046,37361.0901,42425.6997,42414.059,46812.4484,49303.6734
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,212.889663,210.805415,225.80063,243.897432,256.180141,263.950839,276.932974,307.536801,329.431423,357.694745,402.795035,470.195593,602.466748,1124.96682,1205.47382,1458.14401,1630.35982,1728.20571,2251.50602,2954.0492,2911.00787,2640.58579,2417.32459,2357.26891,2247.92746,2042.58558,2108.58586,2042.05762,2117.75262,2875.25714,2048.80975,1996.37756,1987.85771,2018.68578,2081.02069,2193.87331,2305.61606,2192.61189,2378.95049,2664.1658,2536.71196,2483.10723,2696.6723,3133.73688,3750.69352,4355.08762,4940.70227,6091.93206,5134.45006,5928.30536,6894.19537,7362.62991,7351.94811,7311.28997,6262.04168,6012.51244,6066.72679,6668.21673,6638.48541,5722.481,6681.70895,7931.61789,7479.68809,7521.15331
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,2394.06811,2805.42643,3675.41681,9695.81419,23822.9716,27117.1881,31196.9792,35020.3604,29379.1277,34238.2864,42925.2339,44854.48,39972.4947,34650.0041,32012.3142,29467.542,23132.074,23112.6234,21569.7069,23166.7306,26709.9934,25690.9686,25648.2728,25032.7823,25472.6397,27003.2007,28323.1651,27982.7957,24889.4269,25855.8605,29865.5023,27745.1708,27753.609,29659.5429,33376.7152,38719.3138,44342.6048,45854.7325,50054.1701,37803.0664,43696.6713,50789.0505,52034.4762,52023.5171,51381.407,43534.9973,41326.4018,42340.5917,45689.857,44251.4541,37173.8754,43360.0211,49899.0653,49040.6948,49377.5643
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,778.251707,971.338043,870.217491,852.972425,1176.20086,1281.83338,1275.07843,1063.93284,1141.95212,1329.56182,1322.71454,1372.50747,1409.37097,2097.89945,2844.96991,2026.68436,1946.9199,2126.48546,3282.06304,2511.97333,2747.50228,2764.08641,2914.76709,3537.74735,3915.03493,2905.77566,3436.07819,3477.30132,3992.7033,2374.57322,4315.33403,5709.24784,6789.99611,6931.85596,7437.56242,7357.61628,7663.21271,8146.7871,8218.99213,7705.54288,7637.01489,7141.47508,2569.69964,3320.47775,4242.02099,5067.65342,5869.38029,7185.25155,8944.11027,8150.23527,10260.1313,12704.2832,12949.7175,12963.6758,12233.1444,13679.6265,12699.9623,14532.5009,11752.7999,9955.97479,8535.59938,10738.0179,13935.6811,14187.4827,13858.204
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.355328,572.740261,356.35078,347.870645,390.879964,443.924861,487.068624,505.035887,590.239947,582.669886,593.450582,659.588989,742.651118,882.030168,1130.08791,1557.48459,2041.65267,2962.70235,3777.66859,2820.59266,3041.34451,3349.5531,3511.564,3680.16692,3852.11801,3512.3935,3524.42477,3869.05374,4196.00562,4597.22887,4268.68093,4685.17997,6571.97446,8125.27396,8500.60522
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.69637,9197.66197,8958.42867,8831.26976,8745.16621,9231.37241,10030.8089,12156.0294,10375.172,10383.4593,11745.4899,11813.5022,12026.3345,12727.4103,12843.3343,11863.6839,12552.0547,12886.136,14489.2587,15236.1605,18017.4589,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1213.67022,1374.82027,1705.14199,2053.10328,2310.197,2569.18182,2846.99336,3270.78103,3814.31423,4629.45676,5424.36848,6466.15683,7187.90484,7590.75442,7956.47431,8153.73786,8624.62017,9351.48754,9034.47553,9756.08718,10336.2592,10906.8785,11342.3349,12027.495,11539.1825,11658.695,12173.232,13037.8896,14368.5709,16173.8136,18204.5124,18786.6743,16472.2479,15217.3951,14911.7275,15639.8078,15051.5114,15532.1062,16077.6341,16556.8552,16965.7288,18273.4271,18896.3722,15369.6082,17348.6007,20105.1989,21494.5474,23725.7904
